laptop_id,product_name,price,link,Loại card đồ họa,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Kích thước màn hình,Công nghệ màn hình,Pin,Hệ điều hành,Độ phân giải màn hình,Loại CPU,Cổng giao tiếp,Tần số quét,Chất liệu tấm nền,Công nghệ âm thanh,Tính năng đặc biệt,Loại đèn bàn phím,Bảo mật,Webcam,Kích thước,Trọng lượng,Wi-Fi,Bluetooth,Khe đọc thẻ nhớ,Chất liệu,Chất liệu vỏ trên,Chất liệu vỏ dưới,Chất liệu vỏ màn hình,Loại màn hình,Hãng sản xuất,Nguồn,Chip AI
laptop-dell-vostro-3530-2h1tpi5-16gb,Dell Vostro 3530 2h1tpi5 16gb,13.890.000đ,https://cellphones.com.vn/laptop-dell-vostro-3530-2h1tpi5-16gb.html,Intel UHD Graphics,16GB,DDR4 2666 MHz,"2 khe (2x 8GB, nâng cấp tối đa 16GB)",512GB SSD (1 Slot SSD Tối đa 1TB),15.6 inches,Góc nhìn rộng (WVA)Độ phủ màu NTSC 45%Màn hình chống chói,"41Wh , 3Cell",Free OS,1920 x 1080 pixels (FullHD),"Intel Core i5-1334U thế hệ thứ 13 / 10 nhân 12 luồng / 0.9 GHz to 4.6 GHz, 12MB",1x Đầu nối nguồn1x HDMI 1.41x USB 3.2 Gen 11x Khe cắm thẻ SD1x USB 2.01x Cổng tai nghe 3.5mm1x Cổng Lan1x Type C,120 Hz,,Realtek ALC3204/Realtek ALC3254,,,,HD - 1280 x 720 (HD) ở tốc độ 30 khung hình/giây - Công nghệ cảm biến CMOS,1.69 x 35.8 x 23.5 mm,1.66 kg,"Realtek Wi-Fi 5 RTL8821CE, 802.11ac",Bluetooth 5.0,Có,,Carbon,Carbon,Carbon,,,,
apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025,Macbook Air 15 M4 10cpu 10gpu 16gb 256gb 2025,29.590.000đ,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025.html,GPU 10 lõiNeural Engine 16 lõiCông nghệ dò tia tốc độ cao bằng phần cứngBăng thông bộ nhớ 120GB/s,16GB,,,256GB,15.3 inches,Màn hình Liquid RetinaCó đèn nền LEDMật độ 224 pixel mỗi inchĐộ sáng 500 nitHỗ trợ một tỷ màuDải màu rộng (P3)Công nghệ True Tone,Thời gian xem video trực tuyến lên đến 18 giờThời gian duyệt web trên mạng không dây lên đến 15 giờPin Li-Po 66.5 watt‑giờ tích hợp,macOS,2880 x 1864 pixels,CPU 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện,Cổng sạc MagSafe 3Jack cắm tai nghe 3.5 mmHai cổng Thunderbolt 4 (USB-C) hỗ trợ: Sạc / DisplayPort / Thunderbolt 4 (lên đến 40Gb/s) / USB 4 (lên đến 40Gb/s),,Tấm nền IPS,"Hệ thống âm thanh sáu loa với loa trầm khử lựcHỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợpÂm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods, AirPods Pro, AirPods Max","Wi-Fi 6, Bảo mật vân tay","Bàn phím Magic Keyboard có đèn nềnBàn di chuột Force Touch để điều khiển con trỏ chính xác và cảm ứng lực; hỗ trợ Bấm Mạnh, bộ tăng tốc, vẽ cảm ứng lực và các thao tác Multi‑Touch",Touch ID,Camera 12MP Center Stage có hỗ trợ chế độ Desk ViewQuay video HD 1080pBộ xử lý tín hiệu hình ảnh tiên tiến với video điện toán,Cao: 1.15 cm x Rộng: 34.04 cm x Dài: 23.76 cm,1.51 kg,Wi-Fi 6E (802.11ax),Bluetooth 5.3,Không,Vỏ kim loại,Nhôm,Nhôm,,,,,
apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025,Macbook Air 13 M4 10cpu 10gpu 24gb 512gb 2025,34.990.000đ,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025.html,GPU 10 lõiNeural Engine 16 lõiCông nghệ dò tia tốc độ cao bằng phần cứngBăng thông bộ nhớ 120GB/s,24GB,,,512GB,13.6 inches,Màn hình Liquid RetinaCó đèn nền LEDMật độ 224 pixel mỗi inchĐộ sáng 500 nitHỗ trợ một tỷ màuDải màu rộng (P3)Công nghệ True Tone,Thời gian xem video trực tuyến lên đến 18 giờThời gian duyệt web trên mạng không dây lên đến 15 giờPin Li-Po 53.8 watt‑giờ tích hợp,macOS,2560 x 1664 pixels,CPU 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện,Cổng sạc MagSafe 3Jack cắm tai nghe 3.5 mmHai cổng Thunderbolt 4 (USB-C) hỗ trợ: Sạc  / DisplayPort / Thunderbolt 4 (lên đến 40Gb/s) / USB 4 (lên đến 40Gb/s),,Tấm nền IPS,"Hệ thống âm thanh bốn loaHỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợpÂm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods, AirPods Pro, và AirPods Max","Wi-Fi 6, Bảo mật vân tay","Bàn phím Magic Keyboard có đèn nềnBàn di chuột Force Touch để điều khiển con trỏ chính xác và cảm ứng lực; hỗ trợ Bấm Mạnh, bộ tăng tốc, vẽ cảm ứng lực, và các thao tác Multi‑Touch",Touch ID,Camera 12MP Center Stage có hỗ trợ chế độ Desk ViewQuay video HD 1080pBộ xử lý tín hiệu hình ảnh tiên tiến với video điện toán,Cao: 1.13 cm x  Rộng: 30.41 cm x Dài: 21.5 cm,1.24 kg,Wi-Fi 6E (802.11ax),Bluetooth 5.3,Không,Vỏ kim loại,Nhôm,Nhôm,,,,,
laptop-lenovo-loq-15arp9-83jc00hxvn,Lenovo Loq 15arp9 83jc00hxvn,20.490.000đ,https://cellphones.com.vn/laptop-lenovo-loq-15arp9-83jc00hxvn.html,"NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 1732MHz, TGP 95W",12GB,SO-DIMM DDR5-4800,"2 khe (1x 12GB, nâng cấp tối đa 32GB DDR5-4800)","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x M.2 SSD • M.2 2242 SSD tối đa 1TB mỗi ổ)",15.6 inches,Độ sáng 300nitsMàn hình chống chóiĐộ phủ màu 100% sRGBG-SYNC,60Wh (Đầu mỏng 170W (3 chân)),"Windows 11 Home Single Language, English",1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7235HS (4 lõi / 8 luồng, 3.2 / 4.2GHz, 2MB L2 / 8MB L3)","3x USB-A (USB 5Gbps / USB 3.2 Gen 1)1x USB-C (USB 10Gbps / USB 3.2 Gen 2), với Lenovo PD 140W và DisplayPort 1.41x HDMI 2.1, lên đến 8K/60Hz1x giắc cắm kết hợp tai nghe / micrô (3.5mm)1x Ethernet (RJ-45)1x đầu nối nguồn",144Hz,Tấm nền IPS,"Âm thanh độ nét cao (HD)Bộ giải mã Realtek ALC3287Loa stereo, 2W x2Nahimic Audio",Wi-Fi 6,Đèn nền trắng,Firmware TPM 2.0 Enabled,HD 720p với màn trập E-shutter,359.86 x 258.7 x 21.9-23.9 mm (Dài x Rộng x Dày),2.38 kg,"Wi-Fi 6, 802.11ax 2x2",Bluetooth 5.2,,Vỏ nhựa,Nhựa,Nhựa,,,,,
mac-mini-m4-2024-16gb-512gb,Mac Mini M4 2024 16gb 512gb,18.990.000đ,https://cellphones.com.vn/mac-mini-m4-2024-16gb-512gb.html,GPU 10 lõi,16GB,,,512GB,,Hỗ trợ đồng thời đến ba màn hìnhĐầu ra video kỹ thuật số Thunderbolt 4,,macOS,,Apple M4 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điệnNeural Engine 16 lõi,"Mặt trước:Hai cổng USB‑C hỗ trợ cho USB 3Jack cắm tai nghe 3,5 mmMặt sau:Cổng Gigabit EthernetCổng HDMIThunderbolt 4USB 4DisplayPort",,,"Loa tích hợpCác định dạng được hỗ trợ bao gồm AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus và Dolby AtmosCổng HDMI hỗ trợ đầu ra âm thanh đa kênh",Wi-Fi 6,,,,Cao: 5.0 cm x Rộng: 12.7 cm x Dài: 12.7 cm,0.67 kg,Wi‑Fi 6E (802.11ax),Bluetooth 5.3,,,,,,,,155W,
laptop-acer-aspire-go-15-ag15-51p-3151,Acer Aspire Go 15 Ag15 51p 3151,9.190.000đ,https://cellphones.com.vn/laptop-acer-aspire-go-15-ag15-51p-3151.html,Intel UHD Graphics,8GB,DDR5 5600 MT/s,"2 khe (1x 8GB, nâng cấp tối đa 32GB)",512GB PCIe NVMe SSD (Up to 2TB PCIe Gen4 NVMe SSD),15.3 inches,"Màn hình LCD TFT có đèn nền LED Acer ComfyViewGóc nhìn rộng lên đến 170 độKhông chứa thủy ngân, thân thiện với môi trườngĐộ sáng 300nitsĐộ phủ màu NTSC 45%","53 Wh 3-cell, 65W PD PCR 50%, TCO 9.0 AC adapter",Windows 11 Home SL,1920 x 1200 pixels (WUXGA),"Intel Core i3-1215U (6 lõi / 8 luồng, 1.2 GHz, 4.40 GHz, 10 MB Intel Smart Cache)","2x USB Type-C2x USB-ACổng HDMI 2.1 hỗ trợ HDCPGiắc cắm tai nghe/loa 3.5 mm, hỗ trợ tai nghe có micrô tích hợpGiắc cắm DC-in cho bộ đổi nguồn AC",,,,,,,,,,,,,,,,,,,,
laptop-acer-nitro-v-anv15-41-r2up,Acer Nitro V Anv15 41 R2up,16.590.000đ,https://cellphones.com.vn/laptop-acer-nitro-v-anv15-41-r2up.html,"NVIDIA GeForce RTX 2050 với 4 GB VRAM GDDR6 chuyên dụng, hỗ trợ 2048 lõi NVIDIA CUDA",16GB,DDR5 4800MHz,"2 khe (1 x 16GB, nâng cấp tối đa 64GB)",512GB PCIe NVMe SSD (nâng cấp tối đa 4 TB SSD),15.6 inches,Màn hình LCD TFT có đèn nền LED Acer ComfyViewĐộ phủ màu 45% NTSCĐộ sáng 300nits,"57Whr 4-cell, 135W AC Adapter",Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 6600H (6 lõi / 12 luồng, 3.3 GHz, 4.5 GHz, 3 MB L2 cache, up to 16 MB L3 cache)","1x USB Type-C (40Gbps / DisplayPort over USB-C / Sạc)3x USB 3.2 Gen 11x HDMI 2.1 (có hỗ trợ HDCP)1x Jack 3.5mm: tai nghe/loa, hỗ trợ tai nghe có micro tích hợp1x Cổng Ethernet (RJ-45)1x Cổng sạc DC-in cho adapter",165 Hz,Tấm nền IPS,Công nghệ DTS X:Ultra AudioHỗ trợ Windows Spatial SoundDAC chất lượng caoAcer Purified.Voice với AI khử ồnTích hợp Cortana VoiceAcer TrueHarmony,Wi-Fi 6,Có,"Giải pháp Mô-đun Nền tảng Tin cậy (TPM) Phần mềm Người dùng BIOS, mật khẩu giám sát, Khe khóa Kensington",Video HD 720p ở tốc độ 30 khung hình/giây với tính năng Giảm nhiễu theo thời gian,362.3 x 239.89 x 23.5 mm (Dài x Rộng x Dày),2.1 kg,Wi-Fi 6 (802.11ax),Bluetooth 5.1,Không,Vỏ nhựa,Nhựa,Nhựa,Nhựa,,,,
mac-mini-m4-2024-24gb-512gb,Mac Mini M4 2024 24gb 512gb,24.790.000đ,https://cellphones.com.vn/mac-mini-m4-2024-24gb-512gb.html,GPU 10 lõi,24GB,,,512GB,,Hỗ trợ đồng thời đến ba màn hìnhĐầu ra video kỹ thuật số Thunderbolt 4,,macOS,,Apple M4 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điệnNeural Engine 16 lõi,"Mặt trước:Hai cổng USB‑C hỗ trợ cho USB 3Jack cắm tai nghe 3,5 mmMặt sau:Cổng Gigabit EthernetCổng HDMIThunderbolt 4USB 4DisplayPort",,,"Loa tích hợpCác định dạng được hỗ trợ bao gồm AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus và Dolby AtmosCổng HDMI hỗ trợ đầu ra âm thanh đa kênh",,,,,Cao: 5.0 cm x Rộng: 12.7 cm x Dài: 12.7 cm,0.67 kg,Wi‑Fi 6E (802.11ax),Bluetooth 5.3,,,,,,,,155W,
laptop-lenovo-ideapad-slim-5-14akp10-83hx001kvn-ryzen-ai-5,Lenovo Ideapad Slim 5 14akp10 83hx001kvn Ryzen Ai 5,21.990.000đ,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14akp10-83hx001kvn-ryzen-ai-5.html,AMD Radeon 840M Graphics,24GB,DDR5-4800,"2 khe (2 x 12GB SO-DIMM DDR5-4800, tối đa 24GB)","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x M.2 SSD • M.2 2242 SSD lên đến 1TB)",14 inches,Độ sáng 400nits GlossyĐộ phủ màu 100% DCI-P3DisplayHDR True Black 500,60Wh (65W USB-C Slim (Wall-mount)),"Windows 11 Home Single Language, English",1920 x 1200 pixels (WUXGA),"AMD Ryzen AI 5 340 (6 lõi / 12 luồng, 2.0 / 4.8GHz, 6MB L2 / 16MB L3)","1x USB-A (5Gbps / 3.2 Gen 1)1x USB-A (5Gbps /  3.2 Gen 1), Luôn bật2x USB-C (10Gbps / 3.2 Gen 2), với USB PD 3.0 và DisplayPort 1.41x HDMI 2.1, lên đến 4K/60Hz1x giắc cắm kết hợp tai nghe / micrô (3.5 mm)1x đầu đọc thẻ nhớ microSD",,Tấm nền Oled,"Âm thanh độ nét cao (HD)Loa stereo, 2W x2Dolby Audio","Nhận diện khuôn mặt, Màn hình Oled, Wi-Fi 7","Đèn nền, tiếng Anh",Microsoft Pluton TPM 2.0 EnabledCamera IR cho Windows Hello (nhận dạng khuôn mặt),"FHD 1080p + IR với Màn camera, Cảm biến ToF",313.4 x 222 x 16.9 mm (Dài x Rộng x Dày),1.39 kg,"Wi-Fi 7, 802.11be 2x2",Bluetooth 5.4,Có,Vỏ kim loại,Nhôm,Nhôm,Nhôm,,,,"AMD Ryzen AI, up to 50 TOPS"
laptop-asus-vivobook-s-16-oled-m5606ka-ri016ws-ryzen-ai-7,Asus Vivobook S 16 Oled M5606ka Ri016ws Ryzen Ai 7,26.990.000đ,https://cellphones.com.vn/laptop-asus-vivobook-s-16-oled-m5606ka-ri016ws-ryzen-ai-7.html,AMD Radeon Graphics,24GB,LPDDR5X,Onboard,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,Độ sáng 400nitsĐộ sáng tối đa 600nits HDRĐộ phủ màu 100% DCI-P3Gamut mappingDisplay HDR True Black 5001.07 tỷ màuGiảm 70% ánh sáng xanh có hạiTÜV Rheinland-certified,"75WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,2880 x 1800 pixels,"AMD Ryzen AI 7 350 2.0GHz (24MB Cache, up to 5.0GHz, 8 lõi, 16 luồng)",1x USB 3.2 Gen 1 Type-C hỗ trợ hiển thị/sạc (5Gbps)1x USB 4.0 Gen 3 Type-C hỗ trợ hiển thị/sạc (40Gbps)2x USB 3.2 Gen 1 Type-A (5Gbps)1x HDMI 2.1 TMDS1x Giắc cắm âm thanh kết hợp 3.5mmĐầu đọc thẻ Micro SD,120Hz,Tấm nền Oled,Công nghệ Smart AmpLoa tích hợpMicrô mảng tích hợpharman/kardon (Chính thống),"Wi-Fi 6, Nhận diện khuôn mặt, Màn hình Oled",Bàn phím Chiclet có đèn nền RGB 1 vùng không có phím số Với phím Copilot,Webcam IR hỗ trợ Windows HelloMcAfeeSecurity LockBộ xử lý bảo mật Microsoft PlutonTrusted Platform Module (Phần mềm TPM),Camera FHD có chức năng IR hỗ trợ Windows Hello; Có màn trập camera,35.36 x 24.69 x 1.39 ~ 1.59 cm (Dài x Rộng x Dày),1.50 kg,Wi-Fi 6E(802.11ax) (Dual band) 2*2,Bluetooth 5.3,Có,Vỏ kim loại,Nhôm,Nhôm,Nhôm,,,,AMD XDNA NPU up to 50TOPS
apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025-sac-70w,Macbook Air 13 M4 10cpu 10gpu 24gb 512gb 2025 Sac 70w,35.490.000đ,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025-sac-70w.html,GPU 10 lõiNeural Engine 16 lõiCông nghệ dò tia tốc độ cao bằng phần cứngBăng thông bộ nhớ 120GB/s,24GB,,,512GB,13.6 inches,Màn hình Liquid RetinaCó đèn nền LEDMật độ 224 pixel mỗi inchĐộ sáng 500 nitHỗ trợ một tỷ màuDải màu rộng (P3)Công nghệ True Tone,Thời gian xem video trực tuyến lên đến 18 giờThời gian duyệt web trên mạng không dây lên đến 15 giờPin Li-Po 53.8 watt‑giờ tích hợp,macOS,2560 x 1664 pixels,CPU 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện,Cổng sạc MagSafe 3Jack cắm tai nghe 3.5 mmHai cổng Thunderbolt 4 (USB-C) hỗ trợ: Sạc  / DisplayPort / Thunderbolt 4 (lên đến 40Gb/s) / USB 4 (lên đến 40Gb/s),,Tấm nền IPS,"Hệ thống âm thanh bốn loaHỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợpÂm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods, AirPods Pro, và AirPods Max","Wi-Fi 6, Bảo mật vân tay","Bàn phím Magic Keyboard có đèn nềnBàn di chuột Force Touch để điều khiển con trỏ chính xác và cảm ứng lực; hỗ trợ Bấm Mạnh, bộ tăng tốc, vẽ cảm ứng lực, và các thao tác Multi‑Touch",Touch ID,Camera 12MP Center Stage có hỗ trợ chế độ Desk ViewQuay video HD 1080pBộ xử lý tín hiệu hình ảnh tiên tiến với video điện toán,Cao: 1.13 cm x  Rộng: 30.41 cm x Dài: 21.5 cm,1.24 kg,Wi-Fi 6E (802.11ax),Bluetooth 5.3,Không,Vỏ kim loại,Nhôm,Nhôm,,,,,
laptop-hp-victus-16-r0376tx-ay8z2pa,Hp Victus 16 R0376tx Ay8z2pa,24.990.000đ,https://cellphones.com.vn/laptop-hp-victus-16-r0376tx-ay8z2pa.html,NVIDIA GeForce RTX 3050 Laptop GPU (6 GB GDDR6 dedicated),16GB,DDR5-4800 MT/s,2 khe (2 x 8 GB),512 GB PCIe Gen4 NVMeTM M.2 SSD,16.1 inches,Độ phủ màu 100% sRGBĐộ sáng 300 nitsThời gian phản hồi 7 msÁnh sáng xanh thấp,"4-cell, 70 Wh Li-ion polymerBộ đổi nguồn AC thông minh 200 WHỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"Intel Core i7-13700HX (up to 5.0 GHz with Intel Turbo Boost Technology, 30 MB L3 cache,16 lõi, 24 luồng)","1x USB Type-A (HP Sleep and Charge)1x USB Type-C (sạc nhanh, DisplayPort 1.4, HP Sleep and Charge)2x USB Type-A1x cổng HDMI 2.11x RJ-451x bộ chuyển đổi điện xoay chiều thông minh1x cổng kết hợp tai nghe/micrô",165 Hz,Tấm nền IPS,Công nghệ âm thanh của B&OLoa képHP Audio Boost,"Viền màn hình siêu mỏng, Wi-Fi 6","Bàn phím kích thước đầy đủ, có đèn nền RGB 1 vùng, màu xám đá mặt trăng với bàn phím số",Màn trập cameraHỗ trợ Trusted Platform Module (Phần mềm điều khiển TPM),Camera HP True Vision 1080p FHD có chức năng giảm nhiễu theo thời gian và micrô kỹ thuật số mảng kép tích hợp,36.9 x 25.94 x 2.29 cm (mặt trước)36.9 x 25.94 x 2.39 cm (mặt sau),2.31 kg,Intel Wi-Fi 6E AX211 (2x2),Bluetooth 5.3,,,,,,,,,
laptop-lenovo-loq-15irx10-83je00pevn,Lenovo Loq 15irx10 83je00pevn,32.990.000đ,https://cellphones.com.vn/laptop-lenovo-loq-15irx10-83je00pevn.html,"NVIDIA GeForce RTX 5050 8GB GDDR7, Boost Clock 2370MHz, TGP 100W, 440 AI TOPS",16GB,DDR5-4800,"2 khe (1 x 16GB, nâng cấp tối đa 32GB DDR5-4800)","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Hỗ trợ tối đa 2 ổ M.2 2242 SSD, mỗi ổ tối đa 1TB)",15.6 inches,Độ sáng 300nitsMàn hình chống chóiĐộ phủ màu 100% sRGBG-SYNC,"60Wh, 170W Slim Tip (3-pin)","Windows 11 Home Single Language, English + Office Trial + Lenovo AI Now",1920 x 1080 pixels (FullHD),"Intel Core i7-13650HX, 14 lõi (6P + 8E) / 20 luồng, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB","3x USB-A (5Gbps / USB 3.2 Gen 1)1x USB-C (10Gbps / USB 3.2 Gen 2), với USB PD 65-100W và DisplayPort 1.41x HDMI 2.1, lên đến 8K/60Hz1x Giắc cắm kết hợp tai nghe/micrô (3.5mm)1x Ethernet (RJ-45)1x Đầu nối nguồn",144 Hz,Tấm nền IPS,"Âm thanh HD với chip Realtek ALC3287Loa stereo 2W x2, tối ưu chất lượng bởi Nahimic Audio",Wi-Fi 6,24-Zone RGB Backlit,Firmware TPM 2.0 Enabled,5.0MP với E-shutter,359.86 x 258.7 x 21.9–23.9 mm (Dài x Rộng x Dày),2.4 kg,"Wi-Fi 6, 802.11ax 2x2",Bluetooth 5.2,,Vỏ nhựa,Nhựa,Nhựa,,,,,
laptop-asus-vivobook-16x-k3605vc-rp491w,Asus Vivobook 16x K3605vc Rp491w,19.990.000đ,https://cellphones.com.vn/laptop-asus-vivobook-16x-k3605vc-rp491w.html,NVIDIA GeForce RTX3050 4GB GDDR6Intel UHD Graphics,16GB,DDR4,2 khe (8GB DDR4 on board + 8GB DDR4 SO-DIMM),512GB M.2 NVMe PCIe 4.0 SSD,16 inches,Độ sáng 300nitsĐộ phủ màu 45% NTSCMàn hình chống chóiTÜV Rheinland,"50WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1200 pixels (WUXGA),"Intel Core i7-13620H 2.4 GHz (24MB Cache, up to 4.9 GHz, 10 lõi, 16 luồng)",1x USB 3.2 Gen 1 Type-C hỗ trợ cấp nguồn (5Gbps)2x USB 3.2 Gen 1 Type-A (5Gbps)1x HDMI 2.1 TMDS1x Giắc cắm âm thanh kết hợp 3.5mm1x DC-inĐầu đọc thẻ SD 4.0,144Hz,Tấm nền IPS,SonicMasterLoa tích hợpMicrô mảng tích hợp,Wi-Fi 6,Bàn phím Chiclet có đèn nền với phím số,Khởi động BIOS Bảo vệ mật khẩu người dùngMô-đun nền tảng đáng tin cậy (Phần mềm TPM)McAfee,720p HD với màn trập camera,35.86 x 24.91 x 1.89 ~ 1.89 cm (Dài x Rộng x Dày),1.80 kg,Wi-Fi 6E(802.11ax) (Dual band) 2*2,Bluetooth 5.3,Có,Vỏ nhựa,Nhựa,Nhựa,Nhôm,,,,
macbook-pro-14-inch-m4-24gb-1tb,Macbook Pro 14 Inch M4 24gb 1tb,48.390.000đ,https://cellphones.com.vn/macbook-pro-14-inch-m4-24gb-1tb.html,10 lõiNeural Engine 16 lõi,24GB,,,1TB,14.2 inches,"Màn hình Liquid Retina XDRXDR (Extreme Dynamic Range)Độ sáng XDR: 1.000 nit ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR)1 tỷ màuDải màu rộng (P3)Công nghệ True ToneHỗ trợ tối đa hai màn hình ngoài",Pin Li-Po 72.4 watt-giờThời gian xem video trực tuyến lên đến 24 giờThời gian duyệt web trên mạng không dây lên đến 16 giờ,macOS,3024 x 1964 pixels,Apple M4 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện,"Khe thẻ nhớ SDXCCổng HDMIJack cắm tai nghe 3.5 mmCổng MagSafe 3Ba cổng Thunderbolt 4 (USB‑C) hỗ trợ: Sạc, DisplayPort, Thunderbolt 4 (lên đến 40Gb/s), USB 4 (lên đến 40Gb/s)",120Hz,,Hệ thống âm thanh sáu loa có độ trung thực cao với loa trầm khử lựcÂm thanh stereo rộngÂm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3  trở lên),Bảo mật vân tay,Bàn phím Magic Keyboard có đèn nền,Touch ID,Camera 12MP Center Stage có hỗ trợ chế độ Desk ViewQuay video HD 1080pBộ xử lý tín hiệu hình ảnh tiên tiến với video điện toán,Dài: 22.12 cm x Cao: 1.55 cm x Rộng: 31.26 cm,1.55 kg,Wi‑Fi 6E (802.11ax),Bluetooth 5.3,Có,,,,,,,,
laptop-lenovo-loq-15arp9-83jc00lvvn,Lenovo Loq 15arp9 83jc00lvvn,21.990.000đ,https://cellphones.com.vn/laptop-lenovo-loq-15arp9-83jc00lvvn.html,"NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 1732MHz, TGP 95W",16GB,DDR5-4800,"2 khe (2 x 8GB, nâng cấp tối đa 32GB DDR5-4800)","512GB SSD M.2 2242 PCIe 4.0x4 NVMe, Hỗ trợ tối đa 2 ổ M.2 SSD (M.2 2242, tối đa 1TB mỗi ổ)",15.6 inches,Độ sáng 300nitsMàn hình chống chóiĐộ phủ màu 100% sRGBG-SYNC,"60Wh, 170W Slim Tip (3-pin)","Windows 11 Home Single Language, English",1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7235HS (4 lõi / 8 luồng, 3.2 / 4.2GHz, 2MB L2 / 8MB L3)","3x USB-A (5Gbps)1x USB-C (10Gbps), với Lenovo PD 140W và DisplayPort 1.41x HDMI 2.1, lên đến 8K/60Hz1x Giắc cắm kết hợp tai nghe/micrô (3.5mm)1x Ethernet (RJ-45)1x Đầu nối nguồn",144 Hz,Tấm nền IPS,"Âm thanh độ nét cao (HD)Bộ giải mã Realtek ALC3287Loa stereo, 2W x2Nahimic Audio",Wi-Fi 6,Đèn nền trắng,Firmware TPM 2.0 Enabled,HD 720p với E-shutter,359.86 x 258.7 x 21.9–23.9 mm (Dài x Rộng x Dày),2.38 kg,"Wi-Fi 6, 802.11ax 2x2",Bluetooth 5.2,Không,Vỏ nhựa,Nhựa,Nhựa,,,,,
laptop-hp-15-fd0237tu,Hp 15 Fd0237tu,13.990.000đ,https://cellphones.com.vn/laptop-hp-15-fd0237tu.html,Intel Iris Xe Graphics,16GB,DDR4 3200,"2 khe (Máy nguyên bản 2x4GB, được tặng 2x8GB)",512GB SSD,15.6 inches,Màn hình chống chóiĐộ sáng 250 nitsĐộ phủ màu 45% NTSC,"3-cell, 41 Wh Li-ion polymer",Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"Intel Core i5-1334U (up to 4.6 GHz with Intel Turbo Boost Technology, 12 MB L3 cache, 10 lõi, 12 luồng)",1x USB Type-C 5Gbps2x USB Type-A 5Gbps1x HDMI 1.4b1x AC smart pin1x headphone/microphone combo,,,,"Viền màn hình siêu mỏng, Wi-Fi 6",,,HP True Vision 720p HD camera,35.98 x 23.6 x 1.86 cm,1.59 kg,Realtek Wi-Fi 6 (2x2),Bluetooth 5.3,,,,,,,,,
